city,states,mpo,trip_per_veh,poolPercent,extraVMTPercent,lon,lat
Draper,UT,Wasatch,71.04428044,0.225545675,0.299915344,-111.8717911,40.50027082
West Jordan,UT,Wasatch,72.47768207,0.241294714,0.238500774,-111.9908833,40.60355799
Salt Lake City,UT,Wasatch,57.34718728,0.593466552,0.14088702,-111.9255483,40.76845612
Bountiful,UT,Wasatch,92.50570342,0.129846709,0.319884474,-111.8731291,40.8650329
Layton,UT,Wasatch,73.02886406,0.2235169,0.306974136,-111.9620354,41.07754386
Provo,UT,Wasatch,65.74087079,0.307376732,0.236214729,-111.6716378,40.24257964
Hopewell,VA,RICHMOND,106.9034091,0.025550314,0.335007871,-77.29854198,37.29136494
Linton Hall,VA,TPB,105.7622378,0.072762552,0.649799363,-77.58645454,38.75544559
Manassas,VA,TPB,105.1070496,0.060769994,0.647163794,-77.48387547,38.74789775
Dale City,VA,TPB,101.132948,0.124263414,0.462690012,-77.34536826,38.64639492
Centreville,VA,TPB,99.35466667,0.109827151,0.55821239,-77.43793018,38.83972403
Lake Ridge,VA,TPB,110.5441176,0.057298335,0.597861269,-77.31368952,38.68904945
Poquoson,VA,HRTPO,92.00666667,0.003667802,0.434909543,-76.35817484,37.13222642
Petersburg,VA,RICHMOND,86.08709677,0.133004926,0.281991286,-77.39145148,37.2041781
Virginia Beach,VA,HRTPO,61.22278251,0.547409135,0.156887134,-76.05725063,36.74771385
Gainesville,VA,TPB,114.3406593,0.02209551,0.830071249,-77.63659508,38.79002592
Hampton,VA,HRTPO,80.45120373,0.308694068,0.22080976,-76.36694402,37.05349406
Fredericksburg,VA,TPB,92.31728045,0.200605517,0.485635748,-77.48690575,38.29921163
Arlington,VA,TPB,67.11427696,0.604582766,0.181298378,-77.10101114,38.87857784
Norfolk,VA,HRTPO,72.30851204,0.511992596,0.161956303,-76.25600938,36.8945622
Leesburg,VA,TPB,106.1375661,0.114551932,0.570221316,-77.56010539,39.10136261
Potomac Mills,VA,TPB,122.6137184,0.030765898,0.673100446,-77.30392533,38.65825501
Portsmouth,VA,HRTPO,82.57596372,0.256134662,0.240655076,-76.35601403,36.84540071
Suffolk,VA,HRTPO,60.7846651,0.242064888,0.275135629,-76.64223219,36.69137193
Chesapeake,VA,HRTPO,59.17923497,0.367408649,0.238468241,-76.30075402,36.67804498
Ashburn,VA,TPB,77.41256367,0.277256834,0.423380439,-77.46757054,39.02625609
Newport News,VA,HRTPO,68.74244966,0.327582996,0.224848677,-76.51822492,37.10429459
Reston,VA,TPB,74.12548015,0.313156736,0.381093307,-77.34191507,38.94895407
Richmond,VA,RICHMOND,69.86667935,0.562511689,0.178388217,-77.47556818,37.52939331
Alexandria,VA,TPB,74.47764335,0.530084855,0.184271272,-77.08623996,38.81847439
Artondale,WA,PSRC,51.19075145,0.095582329,0.398047191,-122.639981,47.30340112
Renton,WA,PSRC,52.51000572,0.380905434,0.2520415,-122.18808,47.47526909
Marysville,WA,PSRC,64.44783983,0.227619048,0.287546374,-122.1524999,48.0766101
University Place,WA,PSRC,73.99630996,0.083542488,0.327210397,-122.5461147,47.21410749
Auburn,WA,PSRC,58.09919355,0.359290167,0.261182385,-122.2116039,47.30536579
Silverdale,WA,PSRC,67.27876106,0.132123412,0.371682085,-122.6873244,47.66692801
Bellevue,WA,PSRC,56.36855124,0.441394286,0.23528965,-122.1588245,47.59612254
Bainbridge Island,WA,PSRC,58.41823899,0.216785921,0.388320647,-122.5436932,47.64450992
Tacoma,WA,PSRC,57.16695279,0.450570394,0.20787577,-122.4559774,47.24291059
Kent,WA,PSRC,52.68970448,0.393740353,0.267588037,-122.2172757,47.38980917
Federal Way,WA,PSRC,62.39323127,0.26963597,0.274931205,-122.3365762,47.3084552
Seattle,WA,PSRC,43.69748136,0.654659748,0.167969309,-122.3237887,47.62129132
Sammamish,WA,PSRC,53.75201613,0.140593255,0.312907591,-122.0427578,47.60182173
Kirkland,WA,PSRC,61.87802691,0.289603045,0.264846551,-122.2038619,47.70264786
Everett,WA,PSRC,55.6908078,0.371278231,0.254378988,-122.2101357,47.96653042
Bremerton,WA,PSRC,57.49891068,0.255351262,0.271322462,-122.6875253,47.54630774
South Hill,WA,PSRC,59.55,0.129212141,0.384999835,-122.2807403,47.11569572
Lake Stevens,WA,PSRC,75.34158416,0.107824427,0.360819719,-122.0927354,48.00340742
Lakewood,WA,PSRC,66.26619552,0.2904642,0.270506723,-122.5347325,47.16109243
Redmond,WA,PSRC,63.66155235,0.298519611,0.287090851,-122.1255417,47.67573988
Bloomington,WI,MC,64.46391213,0.27979795,0.241150511,-93.31466819,44.83023765
Cottage Grove,WI,MC,79.30243902,0.034731469,0.408965119,-92.92119636,44.8273959
